Name,Phone,Department,Description,Title,Group
Lisa Andrews,555-0100,Sales,,Account Representative,North Users A
Roy Antebi,555-0102,Sales,,Account Representative,North Users A
Johnson Apacible,555-0123,IT,temp account,Intern I,North Users B
Prithvi Raj,555-0134,IT,temp account,Intern I,North Users C
Darcy Jayne,555-0145,Customer Service,,Agent,North Users A
Virginie Jean,555-0156,Customer Service,,Agent,North Users D
Jacek Jelitto,555-0199,Customer Service,,Agent,North Users D
John Rodman,555-0111,HR,,Benefits Administrator,North Users B
Ann Beebe,555-0145,HR,,Benefits Manager,North Users B
Don Richardson,555-0101,Sales,executive,Eastern Sales Manager,North Users A
